都道府県名|陽性者数 検査人数※3||％
北海道|10,163|173,120|5.9%
青森 ※3|345|7,496|4.6%
※3※4※5 岩手|224|10,258|2.2%
宮城 ※3※5|1,319|20,230|6.5%
秋田|90|3,733|2.4%
山形|186|8,531|2.2%
福島 ※3|548|42,464|1.3%
茨城|1,878|17,536|10.7%
栃木 ※3※5|782|57,351|1.4%
群馬 ※3※5|1,433|39,971|3.6%
埼玉 ※4|9,583|252,336|3.8%
千葉|7,599|175,488|4.3%
東京 ※1|44,355|816,435|5.4%
神奈川|13,855|272,325|5.1%
新潟 ※3※5|363|23,497|1.5%
富山 ※3※5|462|18,199|2.5%
石川 ※3|879|23,696|3.7%
福井 ※3|326|16,140|2.0%
山梨 ※3|429|13,914|3.1%
⾧野 ※3※5|838|34,537|2.4%
岐阜 ※5|1,300|45,207|2.9%
静岡 ※3※4|1,988|63,637|3.1%
※3※4※5 愛知|11,438|143,982|7.9%
三重 ※3|967|22,079|4.4%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|832|29,557|2.8%
京都|2,884|70,833|4.1%
大阪 ※3※5|22,993|357,109|6.4%
※3※4※5 兵庫|6,547|105,709|6.2%
奈良 ※5|1,351|36,543|3.7%
和歌山|516|14,303|3.6%
鳥取 ※3※4|65|18,758|0.3%
島根 ※5|158|7,158|2.2%
岡山 ※4|678|20,802|3.3%
広島 ※3|1,128|39,067|2.9%
山口 ※4|418|19,028|2.2%
徳島 ※3|186|13,518|1.4%
香川 ※5|174|18,512|0.9%
愛媛|352|8,593|4.1%
高知|263|4,223|6.2%
※3※4※5 福岡|6,125|214,039|2.9%
佐賀 ※3|347|10,755|3.2%
⾧崎|276|28,610|1.0%
熊本|1,111|26,758|4.2%
大分|418|31,001|1.3%
宮崎|568|10,600|5.4%
鹿児島|701|28,832|2.4%
沖縄 ※3|4,613|76,622|6.0%
⾧崎船 ※2 その他|149|0|-
合計|164,203|3,493,092|4.7%
