都道府県名|陽性者数 検査人数||％
北海道|18,534|352,699|5.3%
青森|806|16,641|4.8%
岩手|524|22,491|2.3%
宮城|3,509|49,684|7.1%
秋田|269|6,948|3.9%
山形|534|16,610|3.2%
福島|1,836|98,705|1.9%
茨城|5,390|24,519|22.0%
栃木|3,971|117,740|3.4%
群馬|4,282|85,166|5.0%
埼玉|27,857|508,340|5.5%
千葉|24,720|373,733|6.6%
東京|107,609|1,436,850|7.5%
神奈川|43,335|549,826|7.9%
新潟|1,008|40,518|2.5%
富山|888|33,912|2.6%
石川|1,693|45,940|3.7%
福井|530|28,979|1.8%
山梨|928|14,741|6.3%
長野|2,347|92,339|2.5%
岐阜|4,590|119,741|3.8%
静岡|4,855|168,204|2.9%
愛知|25,205|359,938|7.0%
三重|2,393|56,417|4.2%
都道府県名|陽性者数 検査人数||％
滋賀|2,325|65,163|3.6%
京都|8,916|146,242|6.1%
大阪|46,016|725,724|6.3%
兵庫|17,514|227,721|7.7%
奈良|3,273|76,238|4.3%
和歌山|1,151|23,902|4.8%
鳥取|207|37,775|0.5%
島根|280|13,515|2.1%
岡山|2,449|60,138|4.1%
広島|4,949|139,356|3.6%
山口|1,356|52,858|2.6%
徳島|430|24,165|1.8%
香川|723|41,706|1.7%
愛媛|1,029|29,650|3.5%
高知|877|7,041|12.5%
福岡|17,396|409,827|4.2%
佐賀|995|26,109|3.8%
長崎|1,585|63,185|2.5%
熊本|3,413|55,685|6.1%
大分|1,263|72,676|1.7%
宮崎|1,935|24,553|7.9%
鹿児島|1,726|63,076|2.7%
沖縄|7,995|137,656|5.8%
長崎船 その他|149|0|-
合計|415,565|7,144,642|5.8%
