都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|45,827|874,189|2,286|12|41,942|1,426
青森|2,793|57,950|172|0|2,589|32
岩手|2,078|95,439|147|0|1,884|47
宮城|10,232|175,621|455|2|9,620|91
秋田|1,044|17,710|52|2|972|20
山形|2,254|72,916|156|0|2,051|47
福島|6,222|320,456|835|12|5,225|162
茨城|13,506|35,004|1,659|10|11,677|170
栃木|8,914|356,137|1,146|15|7,680|88
群馬|9,445|220,379|1,037|4|8,253|155
埼玉|62,091|1,116,737|11,703|64|49,537|851
千葉|53,294|804,938|6,216|50|46,343|735
東京|236,138|2,883,000|32,664|135|201,172|2,302
神奈川|90,920|1,217,742|11,072|116|78,850|998
新潟|4,307|201,910|509|4|3,744|54
富山|2,424|84,132|250|4|2,136|38
石川|5,517|139,532|939|8|4,456|118
福井|1,758|82,675|265|1|1,457|36
山梨|2,599|72,269|306|0|2,274|21
長野|5,538|231,983|363|1|5,149|94
岐阜|9,978|300,388|284|3|9,506|188
静岡|11,537|463,831|1,489|5|9,891|157
愛知|55,012|935,034|2,303|10|51,699|1,010
三重|6,030|159,799|453|3|5,618|114
滋賀|6,383|174,623|558|2|5,731|94
京都|19,358|318,240|1,461|43|17,374|249
大阪|118,861|2,527,386|8,836|362|106,283|2,726
兵庫|45,330|567,667|2,363|20|41,650|1,318
奈良|9,428|191,081|610|11|8,685|133
和歌山|3,141|46,388|274|17|2,746|49
鳥取|916|101,961|281|1|619|3
島根|773|37,500|89|1|682|2
岡山|8,627|183,050|245|3|7,612|127
広島|12,423|594,390|411|7|11,727|179
山口|3,368|133,190|152|0|3,136|80
徳島|1,834|74,023|87|1|1,684|63
香川|2,424|95,994|261|1|2,133|32
愛媛|3,044|106,410|194|3|2,773|77
高知|2,141|64,803|115|7|1,997|29
福岡|42,142|943,188|4,059|11|36,829|536
佐賀|2,876|66,520|176|0|2,655|24
長崎|3,630|138,676|281|0|3,281|69
熊本|7,449|88,052|674|2|6,654|121
大分|3,791|190,695|210|0|3,517|64
宮崎|3,365|46,487|193|0|3,133|27
鹿児島|4,159|121,495|264|0|3,844|39
沖縄|27,054|291,691|3,996|67|22,779|238
（その他）|149|-|0|-|149|-
合計|982,124|18,023,281|102,551|1,020|861,398|15,233
