都道府県名|陽性者数検査人数||％
北海道|59,649|1,069,359|5.6%
青森|5,420|82,109|6.6%
岩手|3,456|116,457|3.0%
宮城|15,968|230,559|6.9%
秋田|1,812|24,856|7.3%
山形|3,457|91,637|3.8%
福島|9,356|391,921|2.4%
茨城|23,617|38,857|60.8%
栃木|14,880|469,340|3.2%
群馬|16,305|279,287|5.8%
埼玉|112,835|1,395,367|8.1%
千葉|97,888|1,016,995|9.6%
東京|371,425|3,508,121|10.6%
神奈川|165,175|1,523,796|10.8%
新潟|7,582|268,040|2.8%
富山|4,732|108,900|4.3%
石川|7,727|183,446|4.2%
福井|2,928|109,738|2.7%
山梨|4,957|105,725|4.7%
長野|8,585|296,794|2.9%
岐阜|18,280|385,957|4.7%
静岡|26,163|586,213|4.5%
愛知|102,654|1,211,715|8.5%
三重|14,406|209,444|6.9%
都道府県名|陽性者数|検査人数|％
滋賀|12,003|239,302|5.0%
京都|34,879|402,843|8.7%
大阪|195,307|3,246,862|6.0%
兵庫|75,242|706,884|10.6%
奈良|15,360|237,186|6.5%
和歌山|5,138|62,588|8.2%
鳥取|1,629|139,369|1.2%
島根|1,544|50,282|3.1%
岡山|14,948|249,075|6.0%
広島|21,160|838,194|2.5%
山口|5,489|173,420|3.2%
徳島|3,182|98,440|3.2%
香川|4,634|123,559|3.8%
愛媛|5,013|142,768|3.5%
高知|4,029|89,987|4.5%
福岡|72,958|1,193,656|6.1%
佐賀|5,658|96,405|5.9%
長崎|5,875|170,514|3.4%
熊本|14,035|117,954|11.9%
大分|7,905|248,543|3.2%
宮崎|6,048|71,159|8.5%
鹿児島|8,998|162,461|5.5%
沖縄|48,593|375,642|12.9%
長崎船その他|149|0|-
合計|1,669,033|22,941,726|7.3%
