都道府県名|陽性者数|検査人数|％
北海道|214,871|1,823,879|11.8%
青森|33,626|190,905|17.6%
岩手|17,168|212,765|8.1%
宮城|55,277|446,290|12.4%
秋田|15,038|49,681|30.3%
山形|16,615|167,839|9.9%
福島|33,856|666,002|5.1%
茨城|107,812|44,674|241.3%
栃木|59,586|656,702|9.1%
群馬|67,044|535,025|12.5%
埼玉|410,268|2,408,384|17.0%
千葉|344,736|1,771,574|19.5%
東京|1,212,905|5,901,828|20.6%
神奈川|583,339|2,180,686|26.8%
新潟|39,904|509,931|7.8%
富山|26,737|207,665|12.9%
石川|33,248|337,865|9.8%
福井|20,390|257,752|7.9%
山梨|21,744|239,637|9.1%
長野|41,607|558,525|7.4%
岐阜|66,320|719,340|9.2%
静岡|117,053|1,042,858|11.2%
愛知|398,302|2,282,527|17.5%
三重|53,132|419,043|12.7%
都道府県名|陽性者数|検査人数|％
滋賀|66,610|507,601|13.1%
京都|150,884|710,967|21.2%
大阪|777,597|6,107,635|12.7%
兵庫|323,268|1,336,614|24.2%
奈良|72,518|439,573|16.5%
和歌山|27,438|133,415|20.6%
鳥取|8,910|296,297|3.0%
島根|8,796|135,610|6.5%
岡山|60,647|474,647|12.8%
広島|91,754|1,494,137|6.1%
山口|27,984|473,883|5.9%
徳島|15,682|175,837|8.9%
香川|28,109|221,642|12.7%
愛媛|23,617|289,119|8.2%
高知|16,369|209,679|7.8%
福岡|291,799|2,201,889|13.3%
佐賀|30,476|212,491|14.3%
長崎|31,789|302,093|10.5%
熊本|62,025|225,013|27.6%
大分|30,574|471,365|6.5%
宮崎|24,188|148,115|16.3%
鹿児島|40,929|298,150|13.7%
沖縄|118,005|647,901|18.2%
その他|149|0-|
合計|6,320,695|41,145,050|15.4%
