都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|697,045|2,968,043|40,643|4|657,762|2,502
青森|148,282|398,964|12,019|0|136,004|259
岩手|99,716|431,698|4,968|2|94,572|176
宮城|242,226|840,199|21,726|7|204,624|347
秋田|90,022|73,249|17,983|1|71,850|189
山形|94,001|243,982|7,543|0|86,290|178
福島|165,349|1,114,921|17,195|1|147,910|244
茨城|338,672|1,654,084|20,490|10|301,424|622
栃木|208,518|927,407|16,138|5|191,920|460
群馬|217,173|858,861|13,809|2|204,152|455
埼玉|1,119,820|3,811,804|30,313|23|1,087,259|2,248
千葉|891,766|2,764,314|37,084|13|834,872|2,397
東京|3,034,897|9,105,951|90,247|30|2,939,038|5,612
神奈川|1,412,228|4,487,314|35,985|33|1,373,352|2,891
新潟|214,417|913,969|10,128|3|204,158|131
富山|118,609|347,441|8,205|0|110,241|163
石川|149,837|729,160|8,587|1|140,965|262
福井|104,862|439,664|4,418|0|100,350|94
山梨|89,739|499,562|4,347|1|85,276|140
長野|189,928|986,062|8,412|0|180,110|320
岐阜|274,076|1,240,838|12,696|5|259,287|535
静岡|458,967|1,740,667|18,869|3|433,267|707
愛知|1,278,333|3,918,580|64,512|24|1,211,080|2,741
三重|233,125|784,998|10,341|2|226,621|489
滋賀|217,211|915,586|11,539|5|205,372|300
京都|452,775|1,168,456|33,627|58|416,159|966
大阪|2,003,558|9,389,864|96,961|55|1,900,365|6,232
兵庫|954,466|2,378,953|43,266|23|908,451|2,756
奈良|213,444|711,332|51,607|4|161,328|509
和歌山|124,347|305,160|4,095|3|119,710|233
鳥取|58,227|676,639|9,317|3|44,778|67
島根|76,489|345,574|6,885|1|69,517|87
岡山|253,489|802,467|17,566|4|228,698|384
広島|394,196|2,573,285|64,095|7|329,411|690
山口|151,600|800,588|6,422|3|144,819|359
徳島|86,978|279,614|3,980|5|82,840|158
香川|131,798|388,940|7,242|3|124,285|271
愛媛|150,646|598,653|7,424|2|142,941|281
高知|92,973|465,217|9,250|7|83,447|276
福岡|1,035,475|3,811,028|52,543|14|963,154|1,850
佐賀|149,524|377,021|12,999|1|125,171|210
長崎|201,588|709,061|22,704|5|177,499|308
熊本|311,512|522,511|19,174|10|291,749|589
大分|165,805|861,361|5,660|4|159,823|322
宮崎|183,093|235,792|8,306|8|173,788|331
鹿児島|280,340|717,206|11,259|8|266,731|492
沖縄|488,870|1,158,427|10,388|16|477,409|669
その他（その他）|149|0|0|0|149|0
合計|20,050,161|71,474,467|1,032,967|419|18,879,978|42,502
